,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,63.14,84,98,13.56,ZA,2022-07-20 01:37:03
1,Yellowknife,62.456,-114.3525,72.12,53,40,13.8,CA,2022-07-20 01:39:30
2,Rikitea,-23.1203,-134.9692,74.32,76,3,7.92,PF,2022-07-20 01:39:31
3,Mountain Home,43.133,-115.6912,96.28,9,0,5.75,US,2022-07-20 01:39:31
4,Collie,-33.3667,116.15,57.31,65,94,8.41,AU,2022-07-20 01:39:31
5,Cape Town,-33.9258,18.4232,58.37,79,20,7.0,ZA,2022-07-20 01:35:03
6,Labuan,5.2767,115.2417,86.36,79,20,3.44,MY,2022-07-20 01:39:32
7,Avarua,-21.2078,-159.775,77.05,61,40,6.91,CK,2022-07-20 01:39:28
8,Yar-Sale,66.8333,70.8333,61.65,61,97,5.7,RU,2022-07-20 01:39:32
9,Upernavik,72.7868,-56.1549,45.19,76,81,2.35,GL,2022-07-20 01:39:33
10,Vila Franca Do Campo,37.7167,-25.4333,74.19,88,94,5.48,PT,2022-07-20 01:39:33
11,Saskylakh,71.9167,114.0833,44.17,61,100,15.39,RU,2022-07-20 01:35:51
12,Reutte,47.4833,10.7167,67.66,67,100,6.8,AT,2022-07-20 01:39:33
13,Nyurba,63.2842,118.3319,55.18,72,100,9.15,RU,2022-07-20 01:39:34
14,Leningradskiy,69.3833,178.4167,34.57,97,100,21.79,RU,2022-07-20 01:37:05
15,Carnarvon,-24.8667,113.6333,70.34,42,82,12.26,AU,2022-07-20 01:39:34
16,Alofi,-19.0595,-169.9187,78.69,69,40,20.71,NU,2022-07-20 01:39:34
17,Bengkulu,-3.8004,102.2655,80.04,81,95,1.74,ID,2022-07-20 01:39:35
18,Barrow,71.2906,-156.7887,44.62,70,0,17.27,US,2022-07-20 01:39:35
19,Butaritari,3.0707,172.7902,82.63,76,97,15.08,KI,2022-07-20 01:35:47
20,Port Elizabeth,-33.918,25.5701,53.89,97,75,10.36,ZA,2022-07-20 01:39:36
21,Tasiilaq,65.6145,-37.6368,36.5,87,46,5.46,GL,2022-07-20 01:39:36
22,Touros,-5.1989,-35.4608,72.91,87,2,13.47,BR,2022-07-20 01:36:48
23,Hilo,19.7297,-155.09,85.28,70,40,10.36,US,2022-07-20 01:38:23
24,Dikson,73.5069,80.5464,47.16,71,100,12.15,RU,2022-07-20 01:39:37
25,Rawson,-43.3002,-65.1023,52.41,62,94,14.85,AR,2022-07-20 01:39:27
26,Ushuaia,-54.8,-68.3,38.86,81,75,4.61,AR,2022-07-20 01:37:06
27,Lorengau,-2.0226,147.2712,83.7,69,100,6.85,PG,2022-07-20 01:39:37
28,Mataura,-46.1927,168.8643,46.47,73,92,3.96,NZ,2022-07-20 01:39:37
29,Harper,4.375,-7.7169,73.81,72,93,7.58,LR,2022-07-20 01:37:42
30,Saqqez,36.2499,46.2735,69.82,30,0,3.51,IR,2022-07-20 01:39:38
31,Jamestown,42.097,-79.2353,76.64,76,0,5.75,US,2022-07-20 01:34:45
32,Gari,59.4307,62.3497,62.6,99,100,5.57,RU,2022-07-20 01:39:38
33,Hobart,-42.8794,147.3294,48.25,72,20,8.05,AU,2022-07-20 01:39:39
34,Talnakh,69.4865,88.3972,56.21,46,100,1.63,RU,2022-07-20 01:37:00
35,Vaini,-21.2,-175.2,77.16,83,20,12.66,TO,2022-07-20 01:37:46
36,Atuona,-9.8,-139.0333,77.68,72,36,11.83,PF,2022-07-20 01:39:39
37,Jablah,35.3614,35.9256,75.49,57,0,2.3,SY,2022-07-20 01:39:40
38,Kavaratti,10.5669,72.642,81.1,81,100,22.19,IN,2022-07-20 01:39:40
39,Busselton,-33.65,115.3333,59.77,72,96,11.88,AU,2022-07-20 01:39:40
40,Vysokogornyy,50.1167,139.15,61.79,85,100,3.02,RU,2022-07-20 01:39:41
41,Hermanus,-34.4187,19.2345,51.51,77,21,4.61,ZA,2022-07-20 01:39:41
42,Bealanana,-14.55,48.7333,54.39,83,84,10.22,MG,2022-07-20 01:39:41
43,Baykit,61.67,96.37,61.77,77,84,3.71,RU,2022-07-20 01:39:42
44,Mayo,38.8876,-76.5119,82.81,83,0,1.01,US,2022-07-20 01:39:42
45,Iqaluit,63.7506,-68.5145,40.73,93,100,3.44,CA,2022-07-20 01:39:42
46,Tuatapere,-46.1333,167.6833,44.85,80,94,3.27,NZ,2022-07-20 01:39:43
47,Portland,45.5234,-122.6762,90.79,40,0,10.36,US,2022-07-20 01:38:26
48,Catamarca,-28.4696,-65.7852,53.08,54,6,8.43,AR,2022-07-20 01:39:43
49,Chuy,-33.6971,-53.4616,44.98,90,0,5.53,UY,2022-07-20 01:39:43
50,San Jeronimo,-11.9472,-75.2829,45.46,77,15,4.5,PE,2022-07-20 01:39:44
51,Portree,57.4129,-6.1942,54.52,94,98,5.61,GB,2022-07-20 01:39:44
52,Ust-Kuyga,70.0167,135.6,47.52,66,99,16.31,RU,2022-07-20 01:39:44
53,Caravelas,-17.7125,-39.2481,70.3,88,0,4.47,BR,2022-07-20 01:38:49
54,Concordia,-31.393,-58.0209,50.79,91,0,1.99,AR,2022-07-20 01:39:45
